palletIdNo,location,palletNo,palletId,status,partNo1,qty1,partNo2,qty2,partNo3,qty3,partNo4,qty4,partNo5,qty5
,A01,,,EMPTY,,,,,,,,,,
,A02,,,EMPTY,,,,,,,,,,
,A03,,,EMPTY,,,,,,,,,,
,A04,,,EMPTY,,,,,,,,,,
,A05,,,EMPTY,,,,,,,,,,
,A06,,,EMPTY,,,,,,,,,,
,A08,,,EMPTY,,,,,,,,,,
,A09,,,EMPTY,,,,,,,,,,
,A12,,,EMPTY,,,,,,,,,,
,A13,,,EMPTY,,,,,,,,,,
,A14,,,EMPTY,,,,,,,,,,
,A15,,,EMPTY,,,,,,,,,,
,A16,,,EMPTY,,,,,,,,,,
,A17,,,EMPTY,,,,,,,,,,
,A18,,,EMPTY,,,,,,,,,,
,A19,,,EMPTY,,,,,,,,,,
,A20,,,EMPTY,,,,,,,,,,
,A21,,,EMPTY,,,,,,,,,,
,A22,,,EMPTY,,,,,,,,,,
,A23,,,EMPTY,,,,,,,,,,
,A24,,,EMPTY,,,,,,,,,,
,A25,,,EMPTY,,,,,,,,,,
,A26,,,EMPTY,,,,,,,,,,
,A27,,,EMPTY,,,,,,,,,,
,A28,,,EMPTY,,,,,,,,,,
,A29,,,EMPTY,,,,,,,,,,
,A30,,,EMPTY,,,,,,,,,,
,A31,,,EMPTY,,,,,,,,,,
,A32,,,EMPTY,,,,,,,,,,
,A33,,,EMPTY,,,,,,,,,,
,A34,,,EMPTY,,,,,,,,,,
,A35,,,EMPTY,,,,,,,,,,
,A36,,,EMPTY,,,,,,,,,,
,A37,,,EMPTY,,,,,,,,,,
,A38,,,EMPTY,,,,,,,,,,
,A39,,,EMPTY,,,,,,,,,,
,A40,,,EMPTY,,,,,,,,,,
,AA01,,,EMPTY,,,,,,,,,,
,AA02,,,EMPTY,,,,,,,,,,
,AA03,,,EMPTY,,,,,,,,,,
,AA04,,,EMPTY,,,,,,,,,,
,AA05,,,EMPTY,,,,,,,,,,
,AA06,,,EMPTY,,,,,,,,,,
,AA08,,,EMPTY,,,,,,,,,,
,AA09,,,EMPTY,,,,,,,,,,
,AA12,,,EMPTY,,,,,,,,,,
,AA13,,,EMPTY,,,,,,,,,,
,AA14,,,EMPTY,,,,,,,,,,
,AA15,,,EMPTY,,,,,,,,,,
,AA16,,,EMPTY,,,,,,,,,,
,AA17,,,EMPTY,,,,,,,,,,
,AA18,,,EMPTY,,,,,,,,,,
,AA19,,,EMPTY,,,,,,,,,,
,AA20,,,EMPTY,,,,,,,,,,
,AA21,,,EMPTY,,,,,,,,,,
,AA22,,,EMPTY,,,,,,,,,,
,AA23,,,EMPTY,,,,,,,,,,
,AA24,,,EMPTY,,,,,,,,,,
,AA25,,,EMPTY,,,,,,,,,,
,AA26,,,EMPTY,,,,,,,,,,
,AA27,,,EMPTY,,,,,,,,,,
,AA28,,,EMPTY,,,,,,,,,,
,AA29,,,EMPTY,,,,,,,,,,
,AA30,,,EMPTY,,,,,,,,,,
,AA31,,,EMPTY,,,,,,,,,,
,AA32,,,EMPTY,,,,,,,,,,
,AA33,,,EMPTY,,,,,,,,,,
,AA34,,,EMPTY,,,,,,,,,,
,AA35,,,EMPTY,,,,,,,,,,
,AA36,,,EMPTY,,,,,,,,,,
,AA37,,,EMPTY,,,,,,,,,,
,AA38,,,EMPTY,,,,,,,,,,
,AA39,,,EMPTY,,,,,,,,,,
,AA40,,,EMPTY,,,,,,,,,,
,B03,,,EMPTY,,,,,,,,,,
,B04,,,EMPTY,,,,,,,,,,
,B05,,,EMPTY,,,,,,,,,,
,B06,,,EMPTY,,,,,,,,,,
,B08,,,EMPTY,,,,,,,,,,
,B09,,,EMPTY,,,,,,,,,,
,B10,,,EMPTY,,,,,,,,,,
,B11,,,EMPTY,,,,,,,,,,
,B13,,,EMPTY,,,,,,,,,,
,B14,,,EMPTY,,,,,,,,,,
,B15,,,EMPTY,,,,,,,,,,
,B16,,,EMPTY,,,,,,,,,,
,B18,,,EMPTY,,,,,,,,,,
,B19,,,EMPTY,,,,,,,,,,
,B20,,,EMPTY,,,,,,,,,,
,B21,,,EMPTY,,,,,,,,,,
,B23,,,EMPTY,,,,,,,,,,
,B24,,,EMPTY,,,,,,,,,,
,B25,,,EMPTY,,,,,,,,,,
,B26,,,EMPTY,,,,,,,,,,
,B28,,,EMPTY,,,,,,,,,,
,B29,,,EMPTY,,,,,,,,,,
,B30,,,EMPTY,,,,,,,,,,
,B31,,,EMPTY,,,,,,,,,,
,B33,,,EMPTY,,,,,,,,,,
,B34,,,EMPTY,,,,,,,,,,
,B35,,,EMPTY,,,,,,,,,,
,B36,,,EMPTY,,,,,,,,,,
,B38,,,EMPTY,,,,,,,,,,
,B39,,,EMPTY,,,,,,,,,,
,B40,,,EMPTY,,,,,,,,,,
,B41,,,EMPTY,,,,,,,,,,
,C02,,,EMPTY,,,,,,,,,,
,C03,,,EMPTY,,,,,,,,,,
,C04,,,EMPTY,,,,,,,,,,
,C05,,,EMPTY,,,,,,,,,,
,C06,,,EMPTY,,,,,,,,,,
,C07,,,EMPTY,,,,,,,,,,
,C08,,,EMPTY,,,,,,,,,,
,C09,,,EMPTY,,,,,,,,,,
,C10,,,EMPTY,,,,,,,,,,
,C11,,,EMPTY,,,,,,,,,,
,C12,,,EMPTY,,,,,,,,,,
,C13,,,EMPTY,,,,,,,,,,
,C14,,,EMPTY,,,,,,,,,,
,C15,,,EMPTY,,,,,,,,,,
,C16,,,EMPTY,,,,,,,,,,
,C17,,,EMPTY,,,,,,,,,,
,C18,,,EMPTY,,,,,,,,,,
,C19,,,EMPTY,,,,,,,,,,
,C20,,,EMPTY,,,,,,,,,,
,C21,,,EMPTY,,,,,,,,,,
,C22,,,EMPTY,,,,,,,,,,
,C23,,,EMPTY,,,,,,,,,,
,C24,,,EMPTY,,,,,,,,,,
,C25,,,EMPTY,,,,,,,,,,
,C26,,,EMPTY,,,,,,,,,,
,C27,,,EMPTY,,,,,,,,,,
,C28,,,EMPTY,,,,,,,,,,
,C29,,,EMPTY,,,,,,,,,,
,C30,,,EMPTY,,,,,,,,,,
,C31,,,EMPTY,,,,,,,,,,
,C32,,,EMPTY,,,,,,,,,,
,D02,,,EMPTY,,,,,,,,,,
,D03,,,EMPTY,,,,,,,,,,
,D04,,,EMPTY,,,,,,,,,,
,D05,,,EMPTY,,,,,,,,,,
,D06,,,EMPTY,,,,,,,,,,
,D07,,,EMPTY,,,,,,,,,,
,D08,,,EMPTY,,,,,,,,,,
,D09,,,EMPTY,,,,,,,,,,
,D10,,,EMPTY,,,,,,,,,,
,D11,,,EMPTY,,,,,,,,,,
,D12,,,EMPTY,,,,,,,,,,
,D13,,,EMPTY,,,,,,,,,,
,D14,,,EMPTY,,,,,,,,,,
,D15,,,EMPTY,,,,,,,,,,
,D16,,,EMPTY,,,,,,,,,,
,D17,,,EMPTY,,,,,,,,,,
,D18,,,EMPTY,,,,,,,,,,
,D19,,,EMPTY,,,,,,,,,,
,D20,,,EMPTY,,,,,,,,,,
,D21,,,EMPTY,,,,,,,,,,
,D22,,,EMPTY,,,,,,,,,,
,D23,,,EMPTY,,,,,,,,,,
,D24,,,EMPTY,,,,,,,,,,
,D25,,,EMPTY,,,,,,,,,,
,D26,,,EMPTY,,,,,,,,,,
,D27,,,EMPTY,,,,,,,,,,
,D28,,,EMPTY,,,,,,,,,,
,D29,,,EMPTY,,,,,,,,,,
,D30,,,EMPTY,,,,,,,,,,
,D31,,,EMPTY,,,,,,,,,,
,D32,,,EMPTY,,,,,,,,,,
,D33,,,EMPTY,,,,,,,,,,
,D34,,,EMPTY,,,,,,,,,,
,D35,,,EMPTY,,,,,,,,,,
,D36,,,EMPTY,,,,,,,,,,
,D37,,,EMPTY,,,,,,,,,,
,D38,,,EMPTY,,,,,,,,,,
,D39,,,EMPTY,,,,,,,,,,
,D40,,,EMPTY,,,,,,,,,,
,E02,,,EMPTY,,,,,,,,,,
,E03,,,EMPTY,,,,,,,,,,
,E04,,,EMPTY,,,,,,,,,,
,E05,,,EMPTY,,,,,,,,,,
,E06,,,EMPTY,,,,,,,,,,
,E07,,,EMPTY,,,,,,,,,,
,E08,,,EMPTY,,,,,,,,,,
,E09,,,EMPTY,,,,,,,,,,
,E10,,,EMPTY,,,,,,,,,,
,E11,,,EMPTY,,,,,,,,,,
,E12,,,EMPTY,,,,,,,,,,
,E13,,,EMPTY,,,,,,,,,,
,E14,,,EMPTY,,,,,,,,,,
,E15,,,EMPTY,,,,,,,,,,
,E16,,,EMPTY,,,,,,,,,,
,E17,,,EMPTY,,,,,,,,,,
,E18,,,EMPTY,,,,,,,,,,
,E19,,,EMPTY,,,,,,,,,,
,E20,,,EMPTY,,,,,,,,,,
,E21,,,EMPTY,,,,,,,,,,
,E22,,,EMPTY,,,,,,,,,,
,E23,,,EMPTY,,,,,,,,,,
,E24,,,EMPTY,,,,,,,,,,
,E25,,,EMPTY,,,,,,,,,,
,E26,,,EMPTY,,,,,,,,,,
,E27,,,EMPTY,,,,,,,,,,
,E28,,,EMPTY,,,,,,,,,,
,E29,,,EMPTY,,,,,,,,,,
,E30,,,EMPTY,,,,,,,,,,
,E31,,,EMPTY,,,,,,,,,,
,E32,,,EMPTY,,,,,,,,,,
,E33,,,EMPTY,,,,,,,,,,
,E34,,,EMPTY,,,,,,,,,,
,E35,,,EMPTY,,,,,,,,,,
,E36,,,EMPTY,,,,,,,,,,
,E37,,,EMPTY,,,,,,,,,,
,E38,,,EMPTY,,,,,,,,,,
,E39,,,EMPTY,,,,,,,,,,
,E40,,,EMPTY,,,,,,,,,,
,F02,,,EMPTY,,,,,,,,,,
,F03,,,EMPTY,,,,,,,,,,
,F04,,,EMPTY,,,,,,,,,,
,F05,,,EMPTY,,,,,,,,,,
,F06,,,EMPTY,,,,,,,,,,
,F07,,,EMPTY,,,,,,,,,,
,F08,,,EMPTY,,,,,,,,,,
,F09,,,EMPTY,,,,,,,,,,
,F10,,,EMPTY,,,,,,,,,,
,F11,,,EMPTY,,,,,,,,,,
,F12,,,EMPTY,,,,,,,,,,
,F13,,,EMPTY,,,,,,,,,,
,F14,,,EMPTY,,,,,,,,,,
,F15,,,EMPTY,,,,,,,,,,
,F16,,,EMPTY,,,,,,,,,,
,F17,,,EMPTY,,,,,,,,,,
,F18,,,EMPTY,,,,,,,,,,
,F19,,,EMPTY,,,,,,,,,,
,F20,,,EMPTY,,,,,,,,,,
,F21,,,EMPTY,,,,,,,,,,
,F22,,,EMPTY,,,,,,,,,,
,F23,,,EMPTY,,,,,,,,,,
,F24,,,EMPTY,,,,,,,,,,
,F25,,,EMPTY,,,,,,,,,,
,F26,,,EMPTY,,,,,,,,,,
,F27,,,EMPTY,,,,,,,,,,
,F28,,,EMPTY,,,,,,,,,,
,F29,,,EMPTY,,,,,,,,,,
,F30,,,EMPTY,,,,,,,,,,
,F31,,,EMPTY,,,,,,,,,,
,F32,,,EMPTY,,,,,,,,,,
,F33,,,EMPTY,,,,,,,,,,
,F34,,,EMPTY,,,,,,,,,,
,F35,,,EMPTY,,,,,,,,,,
,F36,,,EMPTY,,,,,,,,,,
,F37,,,EMPTY,,,,,,,,,,
,F38,,,EMPTY,,,,,,,,,,
,F39,,,EMPTY,,,,,,,,,,
,F40,,,EMPTY,,,,,,,,,,
,G02,,,EMPTY,,,,,,,,,,
,G03,,,EMPTY,,,,,,,,,,
,G04,,,EMPTY,,,,,,,,,,
,G05,,,EMPTY,,,,,,,,,,
,G06,,,EMPTY,,,,,,,,,,
,G07,,,EMPTY,,,,,,,,,,
,G08,,,EMPTY,,,,,,,,,,
,G09,,,EMPTY,,,,,,,,,,
,G10,,,EMPTY,,,,,,,,,,
,G11,,,EMPTY,,,,,,,,,,
,G12,,,EMPTY,,,,,,,,,,
,G13,,,EMPTY,,,,,,,,,,
,G14,,,EMPTY,,,,,,,,,,
,G15,,,EMPTY,,,,,,,,,,
,G16,,,EMPTY,,,,,,,,,,
